NGL Energy Partners LP Quarterly Net Income (Millions of US $),NGL Energy Partners LP Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-28
2024-06-30,$-19
2024-03-31,$-272
2023-12-31,$10
2023-09-30,$-7
2023-06-30,$-14
2023-03-31,$-68
2022-12-31,$26
2022-09-30,$-27
2022-06-30,$-5
2022-03-31,$-57
2021-12-31,$-45
2021-09-30,$-27
2021-06-30,$-159
2021-03-31,$-253
2020-12-31,$-404
2020-09-30,$-18
2020-06-30,$-57
2020-03-31,$-269
2019-12-31,$23
2019-09-30,$-218
2019-06-30,$-121
2019-03-31,$24
2018-12-31,$81
2018-09-30,$331
2018-06-30,$-189
2018-03-31,$92
2017-12-31,$40
2017-09-30,$-189
2017-06-30,$-73
2017-03-31,$17
2016-12-31,$-8
2016-09-30,$-75
2016-06-30,$173
2016-03-31,$-204
2015-12-31,$28
2015-09-30,$-26
2015-06-30,$-45
2015-03-31,$94
2014-12-31,$-23
2014-09-30,$-30
2014-06-30,$-49
2014-03-31,$37
2013-12-31,$20
2013-09-30,$-3
2013-06-30,$-19
2013-03-31,$21
2012-12-31,$39
2012-09-30,$9
2012-06-30,$-25
2012-03-31,$14
2011-12-31,$6
2011-09-30,$-5
2011-06-30,$-7
2011-03-31,$7
2010-12-31,$6
2010-09-30,$-1
2010-06-30,$-1
2010-03-31,
2009-03-31,
