Star Group Quarterly Net Income (Millions of US $),Star Group Quarterly Net Income (Millions of US $).1
2024-12-31,$27
2024-09-30,$-24
2024-06-30,$-11
2024-03-31,$56
2023-12-31,$11
2023-09-30,$-9
2023-06-30,$-24
2023-03-31,$50
2022-12-31,$12
2022-09-30,$-36
2022-06-30,$-10
2022-03-31,$66
2021-12-31,$12
2021-09-30,$-14
2021-06-30,$-12
2021-03-31,$69
2020-12-31,$31
2020-09-30,$-27
2020-06-30,$-0
2020-03-31,$48
2019-12-31,$28
2019-09-30,$-21
2019-06-30,$-23
2019-03-31,$59
2018-12-31,$2
2018-09-30,$-13
2018-06-30,$-8
2018-03-31,$45
2017-12-31,$25
2017-09-30,$-12
2017-06-30,$-13
2017-03-31,$33
2016-12-31,$18
2016-09-30,$-13
2016-06-30,$-3
2016-03-31,$45
2015-12-31,$11
2015-09-30,$-33
2015-06-30,$-8
2015-03-31,$62
2014-12-31,$14
2014-09-30,$-17
2014-06-30,$-10
2014-03-31,$43
2013-12-31,$17
2013-09-30,$-8
2013-06-30,$-8
2013-03-31,$34
2012-12-31,$9
2012-09-30,$-0
2012-06-30,$-12
2012-03-31,$34
2011-12-31,$3
2011-09-30,$-17
2011-06-30,$-18
2011-03-31,$41
2010-12-31,$18
2010-09-30,$-8
2010-06-30,$-10
2010-03-31,$34
2009-12-31,$11
2009-09-30,$30
2009-06-30,$-2
2009-03-31,$88
