Greenlight Capital Re Quarterly Net Income (Millions of US $),Greenlight Capital Re Quarterly Net Income (Millions of US $).1
2024-12-31,$-27
2024-09-30,$35
2024-06-30,$8
2024-03-31,$27
2023-12-31,$18
2023-09-30,$13
2023-06-30,$50
2023-03-31,$6
2022-12-31,$35
2022-09-30,$-18
2022-06-30,$15
2022-03-31,$-6
2021-12-31,$24
2021-09-30,$-14
2021-06-30,$1
2021-03-31,$6
2020-12-31,$42
2020-09-30,$2
2020-06-30,$-0
2020-03-31,$-40
2019-12-31,$-30
2019-09-30,$5
2019-06-30,$15
2019-03-31,$6
2018-12-31,$-81
2018-09-30,$-89
2018-06-30,$-37
2018-03-31,$-143
2017-12-31,$-38
2017-09-30,$20
2017-06-30,$-35
2017-03-31,$8
2016-12-31,$49
2016-09-30,$30
2016-06-30,$-63
2016-03-31,$29
2015-12-31,$-43
2015-09-30,$-220
2015-06-30,$-40
2015-03-31,$-24
2014-12-31,$61
2014-09-30,$-52
2014-06-30,$110
2014-03-31,$-9
2013-12-31,$84
2013-09-30,$57
2013-06-30,$29
2013-03-31,$57
2012-12-31,$-61
2012-09-30,$46
2012-06-30,$-36
2012-03-31,$65
2011-12-31,$70
2011-09-30,$-4
2011-06-30,$-16
2011-03-31,$-43
2010-12-31,$56
2010-09-30,$29
2010-06-30,$18
2010-03-31,$-12
2009-12-31,$57
2009-09-30,$32
2009-06-30,$92
2009-03-31,$28
