Blink Charging Quarterly Net Income (Millions of US $),Blink Charging Quarterly Net Income (Millions of US $).1
2024-09-30,$-87
2024-06-30,$-20
2024-03-31,$-17
2023-12-31,$-20
2023-09-30,$-113
2023-06-30,$-41
2023-03-31,$-30
2022-12-31,$-28
2022-09-30,$-26
2022-06-30,$-23
2022-03-31,$-15
2021-12-31,$-19
2021-09-30,$-15
2021-06-30,$-13
2021-03-31,$-7
2020-12-31,$-8
2020-09-30,$-4
2020-06-30,$-3
2020-03-31,$-3
2019-12-31,$-3
2019-09-30,$-3
2019-06-30,$-2
2019-03-31,$-2
2018-12-31,$-2
2018-09-30,$-2
2018-06-30,$-1
2018-03-31,$-22
2017-12-31,$26
2017-09-30,$-94
2017-06-30,$-5
2017-03-31,$-4
2016-12-31,
2015-12-31,
