Oric Pharmaceuticals Quarterly Net Income (Millions of US $),Oric Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-12-31,$-36
2024-09-30,$-35
2024-06-30,$-32
2024-03-31,$-25
2023-12-31,$-28
2023-09-30,$-25
2023-06-30,$-23
2023-03-31,$-24
2022-12-31,$-21
2022-09-30,$-25
2022-06-30,$-20
2022-03-31,$-23
2021-12-31,$-23
2021-09-30,$-18
2021-06-30,$-21
2021-03-31,$-17
2020-12-31,$-28
2020-09-30,$-26
2020-06-30,$-11
2020-03-31,$-9
2019-12-31,$-8
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$-6
2018-12-31,
