McEwen Mining Quarterly Net Income (Millions of US $),McEwen Mining Quarterly Net Income (Millions of US $).1
2024-12-31,$-8
2024-09-30,$-2
2024-06-30,$-13
2024-03-31,$-20
2023-12-31,$138
2023-09-30,$-18
2023-06-30,$-22
2023-03-31,$-43
2022-12-31,$-37
2022-09-30,$-11
2022-06-30,$-12
2022-03-31,$-21
2021-12-31,$-21
2021-09-30,$-17
2021-06-30,$-6
2021-03-31,$-12
2020-12-31,$-24
2020-09-30,$-10
2020-06-30,$-20
2020-03-31,$-99
2019-12-31,$-25
2019-09-30,$-11
2019-06-30,$-13
2019-03-31,$-10
2018-12-31,$-21
2018-09-30,$-13
2018-06-30,$-5
2018-03-31,$-5
2017-12-31,$2
2017-09-30,$-8
2017-06-30,$-2
2017-03-31,$-3
2016-12-31,$-4
2016-09-30,$4
2016-06-30,$8
2016-03-31,$13
2015-12-31,$-15
2015-09-30,$3
2015-06-30,$-14
2015-03-31,$6
2014-12-31,$-213
2014-09-30,$-13
2014-06-30,$-104
2014-03-31,$18
2013-12-31,$-11
2013-09-30,$3
2013-06-30,$-129
2013-03-31,$-11
2012-12-31,$-26
2012-09-30,$-3
2012-06-30,$-20
2012-03-31,$-17
2011-12-31,$-16
2011-09-30,$-24
2011-06-30,$-13
2011-03-31,$-9
2010-12-31,$-7
2010-09-30,$-8
2010-06-30,$-11
2010-03-31,$-7
2009-12-31,$-4
2009-09-30,$-15
2009-06-30,$-4
2009-03-31,$-5
