Scully Royalty Quarterly Net Income (Millions of US $),Scully Royalty Quarterly Net Income (Millions of US $).1
2024-06-30,
2017-12-31,$-26
2017-09-30,$-6
2017-06-30,$-3
2017-03-31,$-2
2016-12-31,$-13
2016-09-30,$-6
2016-06-30,$-0
2016-03-31,$-0
2015-12-31,$-112
2015-09-30,$-293
2015-06-30,$7
2015-03-31,$6
2014-12-31,$-18
2014-09-30,$6
2014-06-30,$7
2014-03-31,$6
2013-12-31,$-13
2013-09-30,$7
2013-06-30,$6
2013-03-31,$5
2012-12-31,$-32
2012-09-30,$233
2012-06-30,$11
2012-03-31,$15
2011-12-31,$12
2011-09-30,$7
2011-06-30,$12
2011-03-31,$3
2010-12-31,$46
2010-09-30,$6
2010-06-30,$-0
2010-03-31,$-19
2009-12-31,$39
2009-09-30,$7
2009-06-30,$-7
2009-03-31,$1
