MacroGenics Quarterly Net Income (Millions of US $),MacroGenics Quarterly Net Income (Millions of US $).1
2024-09-30,$56
2024-06-30,$-56
2024-03-31,$-52
2023-12-31,$-46
2023-09-30,$18
2023-06-30,$57
2023-03-31,$-38
2022-12-31,$13
2022-09-30,$-25
2022-06-30,$-41
2022-03-31,$-66
2021-12-31,$-58
2021-09-30,$-53
2021-06-30,$-40
2021-03-31,$-51
2020-12-31,$-2
2020-09-30,$-36
2020-06-30,$-47
2020-03-31,$-45
2019-12-31,$-30
2019-09-30,$-45
2019-06-30,$-32
2019-03-31,$-45
2018-12-31,$-45
2018-09-30,$-34
2018-06-30,$-43
2018-03-31,$-50
2017-12-31,$106
2017-09-30,$-47
2017-06-30,$-41
2017-03-31,$-38
2016-12-31,$-35
2016-09-30,$-34
2016-06-30,$40
2016-03-31,$-30
2015-12-31,$-28
2015-09-30,$-15
2015-06-30,$-21
2015-03-31,$45
2014-12-31,$-19
2014-09-30,$-4
2014-06-30,$-12
2014-03-31,$-3
2013-12-31,$3
2013-09-30,$0
2013-06-30,$-0
2013-03-31,$-3
2012-12-31,
2012-09-30,
2012-06-30,
2011-12-31,
