Bioceres Crop Solutions Quarterly Net Income (Millions of US $),Bioceres Crop Solutions Quarterly Net Income (Millions of US $).1
2024-12-31,$0
2024-09-30,$-6
2024-06-30,$-3
2024-03-31,$9
2023-12-31,$0
2023-09-30,$-3
2023-06-30,$-2
2023-03-31,$28
2022-12-31,$-8
2022-09-30,$0
2022-06-30,$-5
2022-03-31,$-6
2021-12-31,$3
2021-09-30,$1
2021-06-30,$1
2021-03-31,$-1
2020-12-31,$1
2020-09-30,$-7
2020-06-30,$2
2020-03-31,$-3
2019-12-31,$11
2019-09-30,$-7
2019-06-30,$5
2019-03-31,$-21
2018-12-31,$7
2018-10-31,$0
2018-09-30,$-3
2018-06-30,$-0
2018-04-30,$-0
2018-03-31,
2018-01-31,
2017-12-31,
