Tsakos Energy Navigation Quarterly Net Income (Millions of US $),Tsakos Energy Navigation Quarterly Net Income (Millions of US $).1
2024-09-30,$20
2024-06-30,$70
2024-03-31,$47
2023-12-31,$26
2023-09-30,$24
2023-06-30,$49
2023-03-31,$168
2022-12-31,$92
2022-09-30,$42
2022-06-30,$37
2022-03-31,$-3
2021-12-31,$-111
2021-09-30,$-34
2021-06-30,$-28
2021-03-31,$-15
2020-09-30,$-10
2020-06-30,$20
2019-06-30,$-13
2019-03-31,$1
2018-06-30,$-16
2018-03-31,$-19
2017-06-30,$-3
2017-03-31,$14
2016-06-30,$12
2016-03-31,$21
2015-12-31,$36
2015-09-30,$36
2015-06-30,$38
2015-03-31,$35
2014-12-31,$11
2014-09-30,$3
2014-06-30,$-2
2014-03-31,$12
2013-12-31,$-38
2013-09-30,$-2
2013-06-30,$-2
2013-03-31,$1
2012-12-31,$-24
2012-09-30,$-10
2012-06-30,$-6
2012-03-31,$-9
2011-12-31,$-57
2011-09-30,$-24
2011-06-30,$-18
2011-03-31,$9
2010-12-31,$-3
2010-09-30,$-6
2010-06-30,$8
2010-03-31,$19
2009-12-31,$-17
2009-09-30,$2
2009-06-30,$19
2009-03-31,$24
