EZCORP Quarterly Net Income (Millions of US $),EZCORP Quarterly Net Income (Millions of US $).1
2024-12-31,$31
2024-09-30,$15
2024-06-30,$18
2024-03-31,$21
2023-12-31,$28
2023-09-30,$10
2023-06-30,$18
2023-03-31,$-7
2022-12-31,$17
2022-09-30,$7
2022-06-30,$12
2022-03-31,$15
2021-12-31,$16
2021-09-30,$2
2021-06-30,$-3
2021-03-31,$5
2020-12-31,$4
2020-09-30,$-23
2020-06-30,$-5
2020-03-31,$-41
2019-12-31,$1
2019-09-30,$-1
2019-06-30,$3
2019-03-31,$3
2018-12-31,$-3
2018-09-30,$-2
2018-06-30,$14
2018-03-31,$12
2017-12-31,$13
2017-09-30,$11
2017-06-30,$5
2017-03-31,$8
2016-12-31,$7
2016-09-30,$3
2016-06-30,$-6
2016-03-31,$-71
2015-12-31,$-7
2015-09-30,$-92
2015-06-30,$-10
2015-03-31,$1
2014-12-31,$12
2014-09-30,$-97
2014-06-30,$4
2014-03-31,$6
2013-12-31,$19
2013-09-30,$-37
2013-06-30,$-6
2013-03-31,$34
2012-12-31,$31
2012-09-30,$32
2012-06-30,$29
2012-03-31,$37
2011-12-31,$39
2011-09-30,$36
2011-06-30,$27
2011-03-31,$32
2010-12-31,$27
2010-09-30,$28
2010-06-30,$20
2010-03-31,$24
2009-12-31,$26
2009-09-30,$21
2009-06-30,$14
2009-03-31,$18
