Loop Industries Quarterly Net Income (Millions of US $),Loop Industries Quarterly Net Income (Millions of US $).1
2024-11-30,$-12
2024-08-31,$-5
2024-05-31,$-5
2024-02-29,$-5
2023-11-30,$-4
2023-08-31,$-5
2023-05-31,$-7
2023-02-28,$5
2022-11-30,$-1
2022-08-31,$-8
2022-05-31,$-18
2022-02-28,$-14
2021-11-30,$-10
2021-08-31,$-8
2021-05-31,$-12
2021-02-28,$-13
2020-11-30,$-14
2020-08-31,$-5
2020-05-31,$-4
2020-02-29,$-4
2019-11-30,$-4
2019-08-31,$-3
2019-05-31,$-4
2019-02-28,$-8
2018-11-30,$-3
2018-08-31,$-4
2018-05-31,$-4
2018-02-28,$-4
2017-11-30,$-7
2017-08-31,$-2
2017-05-31,$-2
2017-02-28,
