Adverum Biotechnologies Quarterly Net Income (Millions of US $),Adverum Biotechnologies Quarterly Net Income (Millions of US $).1
2024-09-30,$-27
2024-06-30,$-18
2024-03-31,$-25
2023-12-31,$-24
2023-09-30,$-33
2023-06-30,$-32
2023-03-31,$-29
2022-12-31,$-33
2022-09-30,$-40
2022-06-30,$-44
2022-03-31,$-38
2021-12-31,$-34
2021-09-30,$-38
2021-06-30,$-44
2021-03-31,$-28
2020-12-31,$-38
2020-09-30,$-28
2020-06-30,$-29
2020-03-31,$-23
2019-12-31,$-19
2019-09-30,$-16
2019-06-30,$-15
2019-03-31,$-14
2018-12-31,$-16
2018-09-30,$-21
2018-06-30,$-19
2018-03-31,$-17
2017-12-31,$-15
2017-09-30,$-14
2017-06-30,$-11
2017-03-31,$-16
2016-12-31,$-22
2016-09-30,$-14
2016-06-30,$-62
2016-03-31,$-15
2015-12-31,$-14
2015-09-30,$-14
2015-06-30,$-10
2015-03-31,$-10
2014-12-31,$-10
2014-09-30,$-8
2014-06-30,$-8
2014-03-31,$-2
2013-12-31,
2013-09-30,$-1
2013-06-30,$-1
2012-12-31,
