Qudian Quarterly Net Income (Millions of US $),Qudian Quarterly Net Income (Millions of US $).1
2024-09-30,$19
2024-06-30,$14
2024-03-31,$-10
2023-12-31,$-19
2023-09-30,$-25
2023-06-30,$-11
2023-03-31,$60
2022-12-31,$70
2022-09-30,$-91
2022-06-30,$-9
2022-03-31,$-23
2021-12-31,$-8
2021-09-30,$-15
2021-06-30,$42
2021-03-31,$73
2020-12-31,$103
2020-09-30,$87
2020-06-30,$25
2020-03-31,$-69
2019-12-31,$15
2019-09-30,$146
2019-06-30,$167
2019-03-31,$141
2018-12-31,$103
2018-09-30,$100
2018-06-30,$109
2018-03-31,$50
2017-09-30,$98
2017-06-30,
2016-12-31,
