Jumia Technologies Quarterly Net Income (Millions of US $),Jumia Technologies Quarterly Net Income (Millions of US $).1
2024-12-31,$-20
2024-09-30,$-17
2024-06-30,$-22
2024-03-31,$-41
2023-12-31,$-18
2023-09-30,$-23
2023-06-30,$-32
2023-03-31,$-32
2022-12-31,$-55
2022-09-30,$-45
2022-06-30,$-69
2022-03-31,$-69
2021-12-31,$-85
2021-09-30,$-66
2021-06-30,$-51
2021-03-31,$-25
2020-12-31,$-56
2020-09-30,$-38
2020-06-30,$-43
2020-03-31,$-47
2019-12-31,$-71
2019-09-30,$-55
2019-06-30,$-76
2019-03-31,$-52
2018-12-31,
