Resources Connection Quarterly Net Income (Millions of US $),Resources Connection Quarterly Net Income (Millions of US $).1
2024-11-30,$-69
2024-08-31,$-6
2024-05-31,$10
2024-02-29,$3
2023-11-30,$5
2023-08-31,$3
2023-05-31,$12
2023-02-28,$7
2022-11-30,$17
2022-08-31,$18
2022-05-31,$21
2022-02-28,$19
2021-11-30,$14
2021-08-31,$13
2021-05-31,$23
2021-02-28,$1
2020-11-30,$-1
2020-08-31,$2
2020-05-31,$4
2020-02-29,$7
2019-11-30,$12
2019-08-31,$5
2019-05-31,$9
2019-02-28,$6
2018-11-30,$11
2018-08-31,$6
2018-05-31,$4
2018-02-28,$5
2017-11-30,$8
2017-08-31,$2
2017-05-31,$4
2017-02-28,$3
2016-11-30,$6
2016-08-31,$6
2016-05-31,$9
2016-02-29,$6
2015-11-30,$9
2015-08-31,$7
2015-05-31,$8
2015-02-28,$6
2014-11-30,$8
2014-08-31,$5
2014-05-31,$7
2014-02-28,$2
2013-11-30,$7
2013-08-31,$4
2013-05-31,$5
2013-02-28,$4
2012-11-30,$6
2012-08-31,$5
2012-05-31,$9
2012-02-29,$4
2011-11-30,$25
2011-08-31,$3
2011-05-31,$5
2011-02-28,$1
2010-11-30,$17
2010-08-31,$1
2010-05-31,$2
2010-02-28,$-5
2009-11-30,$-2
2009-08-31,$-7
2009-05-31,$-6
2009-02-28,$2
