Genco Shipping & Trading Quarterly Net Income (Millions of US $),Genco Shipping & Trading Quarterly Net Income (Millions of US $).1
2024-12-31,$13
2024-09-30,$21
2024-06-30,$23
2024-03-31,$19
2023-12-31,$5
2023-09-30,$-32
2023-06-30,$12
2023-03-31,$3
2022-12-31,$29
2022-09-30,$41
2022-06-30,$47
2022-03-31,$42
2021-12-31,$91
2021-09-30,$57
2021-06-30,$32
2021-03-31,$2
2020-12-31,$-66
2020-09-30,$-21
2020-06-30,$-18
2020-03-31,$-120
2019-12-31,$1
2019-09-30,$-15
2019-06-30,$-34
2019-03-31,$-8
2018-12-31,$18
2018-09-30,$6
2018-06-30,$-1
2018-03-31,$-56
2017-12-31,$3
2017-09-30,$-31
2017-06-30,$-15
2017-03-31,$-16
2016-12-31,$-25
2016-09-30,$-28
2016-06-30,$-111
2016-03-31,$-54
2015-12-31,$-49
2015-09-30,$-67
2015-06-30,$-40
2015-03-31,$-38
2014-12-31,$-164
2014-09-30,$-870
2014-06-30,$-61
2014-03-31,$-39
2013-12-31,$-19
2013-09-30,$-35
2013-06-30,$-45
2013-03-31,$-48
2012-12-31,$-46
2012-09-30,$-38
2012-06-30,$-28
2012-03-31,$-33
2011-12-31,$0
2011-09-30,$2
2011-06-30,$10
2011-03-31,$13
2010-12-31,$35
2010-09-30,$36
2010-06-30,$37
2010-03-31,$33
2009-12-31,$35
2009-09-30,$34
2009-06-30,$38
2009-03-31,$41
