SpartanNash Quarterly Net Income (Millions of US $),SpartanNash Quarterly Net Income (Millions of US $).1
2024-12-31,$-35
2024-09-30,$11
2024-06-30,$11
2024-03-31,$13
2023-12-31,$10
2023-09-30,$11
2023-06-30,$19
2023-03-31,$11
2022-12-31,$1
2022-09-30,$9
2022-06-30,$5
2022-03-31,$19
2021-12-31,$23
2021-09-30,$15
2021-06-30,$17
2021-03-31,$19
2020-12-31,$13
2020-09-30,$20
2020-06-30,$28
2020-03-31,$15
2019-12-31,$5
2019-09-30,$-0
2019-06-30,$-7
2019-03-31,$7
2018-12-31,$-14
2018-09-30,$17
2018-06-30,$18
2018-03-31,$12
2017-12-31,$35
2017-09-30,$-124
2017-06-30,$21
2017-03-31,$15
2016-12-31,$13
2016-09-30,$17
2016-06-30,$17
2016-03-31,$10
2015-12-31,$17
2015-09-30,$15
2015-06-30,$20
2015-03-31,$10
2014-12-31,$12
2014-09-30,$17
2014-06-30,$17
2014-03-31,$12
2013-12-31,$-22
2013-09-30,$7
2013-06-30,$8
2013-03-31,$9
2012-12-31,$3
2012-09-30,$10
2012-06-30,$6
2012-03-31,
2011-12-31,$5
2011-09-30,$10
2011-06-30,$6
2011-03-31,
2010-12-31,$7
2010-09-30,$11
2010-06-30,$6
2010-03-31,
2009-12-31,$5
2009-09-30,$10
2009-06-30,$7
2009-03-31,
