Trivago ADS Quarterly Net Income (Millions of US $),Trivago ADS Quarterly Net Income (Millions of US $).1
2024-12-31,$6
2024-09-30,$-17
2024-06-30,$-5
2024-03-31,$-9
2023-12-31,$4
2023-09-30,$-199
2023-06-30,$6
2023-03-31,$11
2022-12-31,$9
2022-09-30,$-68
2022-06-30,$-64
2022-03-31,$-12
2021-12-31,$18
2021-09-30,$7
2021-06-30,$-4
2021-03-31,$-8
2020-12-31,$-19
2020-09-30,$-3
2020-06-30,$-22
2020-03-31,$-236
2019-12-31,$3
2019-09-30,$0
2019-06-30,$7
2019-03-31,$9
2018-12-31,$14
2018-09-30,$12
2018-06-30,$-25
2018-03-31,$-27
2017-12-31,$-10
2017-09-30,$-7
2017-06-30,$-3
2017-03-31,$6
2016-12-31,
