Precision BioSciences Quarterly Net Income (Millions of US $),Precision BioSciences Quarterly Net Income (Millions of US $).1
2024-09-30,$-16
2024-06-30,$33
2024-03-31,$9
2023-12-31,$-16
2023-09-30,$-8
2023-06-30,$-12
2023-03-31,$-25
2022-12-31,$-28
2022-09-30,$-24
2022-06-30,$-31
2022-03-31,$-28
2021-12-31,$-22
2021-09-30,$-11
2021-06-30,$22
2021-03-31,$-19
2020-12-31,$-23
2020-09-30,$-26
2020-06-30,$-33
2020-03-31,$-27
2019-12-31,$-21
2019-09-30,$-21
2019-06-30,$-19
2019-03-31,$-32
2018-12-31,$-15
2018-09-30,$-10
2018-06-30,$-12
2018-03-31,$-9
2017-12-31,
