FAT Brands Quarterly Net Income (Millions of US $),FAT Brands Quarterly Net Income (Millions of US $).1
2024-12-31,$-62
2024-09-30,$-47
2024-06-30,$-41
2024-03-31,$-40
2023-12-31,$-21
2023-09-30,$-26
2023-06-30,$-9
2023-03-31,$-34
2022-12-31,$-67
2022-09-30,$-25
2022-06-30,$-10
2022-03-31,$-24
2021-12-31,$-20
2021-09-30,$-4
2021-06-30,$-6
2021-03-31,$-2
2020-12-31,$-8
2020-09-30,$-1
2020-06-30,$-4
2020-03-31,$-2
2019-12-31,$-1
2019-09-30,$1
2019-06-30,$-1
2019-03-31,$-1
2018-12-31,$-3
2018-09-30,$0
2018-06-30,$0
2018-03-31,$1
2017-12-31,
2017-09-30,$0
