Steel Partners Holdings LP Quarterly Net Income (Millions of US $),Steel Partners Holdings LP Quarterly Net Income (Millions of US $).1
2024-12-31,$75
2024-09-30,$36
2024-06-30,$116
2024-03-31,$34
2023-12-31,$41
2023-09-30,$26
2023-06-30,$59
2023-03-31,$25
2022-12-31,$73
2022-09-30,$36
2022-06-30,$92
2022-03-31,$5
2021-12-31,$29
2021-09-30,$22
2021-06-30,$27
2021-03-31,$53
2020-12-31,$99
2020-09-30,$36
2020-06-30,$-1
2020-03-31,$-61
2019-12-31,$-35
2019-09-30,$-3
2019-06-30,$21
2019-03-31,$16
2018-12-31,$-30
2018-09-30,$-6
2018-06-30,$13
2018-03-31,$-9
2017-12-31,$-14
2017-09-30,$7
2017-06-30,$11
2017-03-31,$-4
2016-12-31,$-15
2016-09-30,$11
2016-06-30,$9
2016-03-31,$2
2015-12-31,$60
2015-09-30,$-12
2015-06-30,$11
2015-03-31,$78
2014-12-31,$-19
2014-09-30,$14
2014-06-30,$10
2014-03-31,$-13
2013-12-31,$31
2013-09-30,$-15
2013-06-30,$16
2013-03-31,$-12
2012-12-31,$-1
2012-09-30,$3
2012-06-30,$-7
2012-03-31,$46
2011-12-31,$23
2011-09-30,$-12
2011-06-30,$13
2011-03-31,$12
2010-12-31,$-8
2010-09-30,$19
2010-06-30,$5
2010-03-31,$16
2009-12-31,
