Viking Holdings Quarterly Net Income (Millions of US $),Viking Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-131
2024-09-30,$375
2024-06-30,$156
2024-03-31,$-268
2023-12-31,$-597
2023-09-30,$-671
2023-06-30,$190
2023-03-31,$-116
2022-12-31,
