Black Diamond Therapeutics Quarterly Net Income (Millions of US $),Black Diamond Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-16
2024-06-30,$-20
2024-03-31,$-18
2023-12-31,$-19
2023-09-30,$-23
2023-06-30,$-19
2023-03-31,$-21
2022-12-31,$-21
2022-09-30,$-22
2022-06-30,$-23
2022-03-31,$-26
2021-12-31,$-26
2021-09-30,$-35
2021-06-30,$-34
2021-03-31,$-30
2020-12-31,$-23
2020-09-30,$-18
2020-06-30,$-15
2020-03-31,$-12
2019-12-31,$-10
2019-09-30,$-9
2019-06-30,$-12
2019-03-31,$-4
2018-12-31,
