Diversified Healthcare Trust Quarterly Net Income (Millions of US $),Diversified Healthcare Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$-87
2024-09-30,$-99
2024-06-30,$-98
2024-03-31,$-86
2023-12-31,$-103
2023-09-30,$-66
2023-06-30,$-73
2023-03-31,$-53
2022-12-31,$-65
2022-09-30,$-81
2022-06-30,$-109
2022-03-31,$240
2021-12-31,$366
2021-09-30,$-89
2021-06-30,$-34
2021-03-31,$-68
2020-12-31,$-16
2020-09-30,$-107
2020-06-30,$-26
2020-03-31,$10
2019-12-31,$-52
2019-09-30,$-29
2019-06-30,$-37
2019-03-31,$30
2018-12-31,$-119
2018-09-30,$46
2018-06-30,$124
2018-03-31,$236
2017-12-31,$65
2017-09-30,$34
2017-06-30,$16
2017-03-31,$32
2016-12-31,$43
2016-09-30,$28
2016-06-30,$39
2016-03-31,$31
2015-12-31,$10
2015-09-30,$38
2015-06-30,$36
2015-03-31,$40
2014-12-31,$45
2014-09-30,$37
2014-06-30,$38
2014-03-31,$39
2013-12-31,$72
2013-09-30,$38
2013-06-30,$6
2013-03-31,$35
2012-12-31,$45
2012-09-30,$26
2012-06-30,$33
2012-03-31,$32
2011-12-31,$39
2011-09-30,$30
2011-06-30,$51
2011-03-31,$32
2010-12-31,$34
2010-09-30,$28
2010-06-30,$25
2010-03-31,$30
2009-12-31,$32
2009-09-30,$16
2009-06-30,$31
2009-03-31,$32
