Marinus Pharmaceuticals Quarterly Net Income (Millions of US $),Marinus Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-09-30,$-24
2024-06-30,$-36
2024-03-31,$-39
2023-12-31,$-42
2023-09-30,$-33
2023-06-30,$-32
2023-03-31,$-35
2022-12-31,$-33
2022-09-30,$72
2022-06-30,$-39
2022-03-31,$-19
2021-12-31,$-28
2021-09-30,$-20
2021-06-30,$-24
2021-03-31,$-27
2020-12-31,$-17
2020-09-30,$-16
2020-06-30,$-16
2020-03-31,$-28
2019-12-31,$-15
2019-09-30,$-14
2019-06-30,$-12
2019-03-31,$-12
2018-12-31,$-10
2018-09-30,$-11
2018-06-30,$-10
2018-03-31,$-6
2017-12-31,$-5
2017-09-30,$-4
2017-06-30,$-5
2017-03-31,$-5
2016-12-31,$-6
2016-09-30,$-6
2016-06-30,$-9
2016-03-31,$-7
2015-12-31,$-8
2015-09-30,$-5
2015-06-30,$-5
2015-03-31,$-7
2014-12-31,$-4
2014-09-30,$-2
2014-06-30,$-4
2014-03-31,$-3
2013-12-31,$-1
2013-09-30,$-2
2013-06-30,$-3
2013-03-31,$-2
2012-12-31,
