Alta Equipment Group Quarterly Net Income (Millions of US $),Alta Equipment Group Quarterly Net Income (Millions of US $).1
2024-12-31,$-11
2024-09-30,$-28
2024-06-30,$-13
2024-03-31,$-13
2023-12-31,$-3
2023-09-30,$7
2023-06-30,$2
2023-03-31,$0
2022-12-31,$-2
2022-09-30,$4
2022-06-30,$5
2022-03-31,$-2
2021-12-31,$-1
2021-09-30,$-1
2021-06-30,$-16
2021-03-31,$-6
2020-12-31,$-3
2020-09-30,$0
2020-06-30,$-4
2020-03-31,$-17
2019-12-31,$-6
2019-09-30,$-27
2019-06-30,$0
2019-03-31,$-3
2018-12-31,$0
2018-09-30,
2018-06-30,
2018-03-31,$-0
