Industrial Logistics Properties Trust Quarterly Net Income (Millions of US $),Industrial Logistics Properties Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$-24
2024-09-30,$-25
2024-06-30,$-23
2024-03-31,$-23
2023-12-31,$-31
2023-09-30,$-26
2023-06-30,$-26
2023-03-31,$-25
2022-12-31,$-31
2022-09-30,$-46
2022-06-30,$-144
2022-03-31,$-7
2021-12-31,$63
2021-09-30,$18
2021-06-30,$19
2021-03-31,$19
2020-12-31,$40
2020-09-30,$14
2020-06-30,$15
2020-03-31,$13
2019-12-31,$12
2019-09-30,$11
2019-06-30,$13
2019-03-31,$17
2018-12-31,$18
2018-09-30,$18
2018-06-30,$19
2018-03-31,$19
2017-12-31,$15
2017-09-30,$23
2017-06-30,$22
2017-03-31,$20
2016-12-31,
2016-09-30,
2015-12-31,
