Fulcrum Therapeutics Quarterly Net Income (Millions of US $),Fulcrum Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-17
2024-09-30,$-22
2024-06-30,$55
2024-03-31,$-27
2023-12-31,$-25
2023-09-30,$-24
2023-06-30,$-24
2023-03-31,$-25
2022-12-31,$-26
2022-09-30,$-24
2022-06-30,$-34
2022-03-31,$-26
2021-12-31,$-23
2021-09-30,$-21
2021-06-30,$-20
2021-03-31,$-17
2020-12-31,$-18
2020-09-30,$-19
2020-06-30,$-16
2020-03-31,$-18
2019-12-31,$-19
2019-09-30,$-17
2019-06-30,$-16
2019-03-31,$-37
2018-12-31,$-9
2018-09-30,$-11
2018-06-30,$-9
2018-03-31,$-8
2017-12-31,
