Acacia Research Quarterly Net Income (Millions of US $),Acacia Research Quarterly Net Income (Millions of US $).1
2024-12-31,$-13
2024-09-30,$-14
2024-06-30,$-8
2024-03-31,$-0
2023-12-31,$72
2023-09-30,$-2
2023-06-30,$-21
2023-03-31,$6
2022-12-31,$-15
2022-09-30,$21
2022-06-30,$-63
2022-03-31,$-75
2021-12-31,$167
2021-09-30,$73
2021-06-30,$15
2021-03-31,$-137
2020-12-31,$64
2020-09-30,$31
2020-06-30,$4
2020-03-31,$-12
2019-12-31,$0
2019-09-30,$-8
2019-06-30,$-6
2019-03-31,$-4
2018-12-31,$-11
2018-09-30,$-33
2018-06-30,$-28
2018-03-31,$-32
2017-12-31,$-110
2017-09-30,$158
2017-06-30,$-14
2017-03-31,$-12
2016-12-31,$-11
2016-09-30,$7
2016-06-30,$-41
2016-03-31,$-10
2015-12-31,$-116
2015-09-30,$-27
2015-06-30,$-4
2015-03-31,$-13
2014-12-31,$-16
2014-09-30,$-13
2014-06-30,$-13
2014-03-31,$-25
2013-12-31,$-33
2013-09-30,$-16
2013-06-30,$-13
2013-03-31,$5
2012-12-31,$8
2012-09-30,$-7
2012-06-30,$6
2012-03-31,$50
2011-12-31,$-5
2011-09-30,$11
2011-06-30,$2
2011-03-31,$12
2010-12-31,$-5
2010-09-30,$25
2010-06-30,$-4
2010-03-31,$19
2009-12-31,$-5
2009-09-30,$-3
2009-06-30,$-3
2009-03-31,$-0
