Emerald Holding Quarterly Net Income (Millions of US $),Emerald Holding Quarterly Net Income (Millions of US $).1
2024-12-31,$5
2024-09-30,$-11
2024-06-30,$-5
2024-03-31,$0
2023-12-31,$-29
2023-09-30,
2023-06-30,$-19
2023-03-31,$-3
2022-12-31,$11
2022-09-30,$28
2022-06-30,$-10
2022-03-31,$3
2021-12-31,$-18
2021-09-30,$-18
2021-06-30,$-55
2021-03-31,$-24
2020-12-31,$-42
2020-09-30,$-22
2020-06-30,$10
2020-03-31,$-594
2019-12-31,$-68
2019-09-30,$-20
2019-06-30,$11
2019-03-31,$27
2018-12-31,$-90
2018-09-30,$21
2018-06-30,$6
2018-03-31,$38
2017-12-31,$40
2017-09-30,$19
2017-06-30,$-6
2017-03-31,$28
2016-12-31,$-24
2016-09-30,$18
2016-06-30,$-0
2016-03-31,$28
2015-12-31,
2014-12-31,
