Peakstone Realty Trust Quarterly Net Income (Millions of US $),Peakstone Realty Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$13
2024-09-30,$-24
2024-06-30,$-4
2024-03-31,$5
2023-12-31,$-20
2023-09-30,$-128
2023-06-30,$-416
2023-03-31,$6
2022-12-31,$-229
2022-09-30,$-111
2022-06-30,$-72
2022-03-31,$0
2021-12-31,$-7
2021-09-30,$2
2021-06-30,$3
2021-03-31,$3
2020-12-31,$-8
2020-09-30,$-9
2020-06-30,$3
2020-03-31,$1
2019-12-31,$-4
2019-09-30,$9
2019-06-30,$14
2019-03-31,$5
2018-12-31,$7
2018-09-30,$3
2018-06-30,$7
2018-03-31,$1
2017-12-31,$131
2017-09-30,$3
2017-06-30,$3
2017-03-31,$3
2016-12-31,$1
2016-09-30,$-3
2016-06-30,$-3
2016-03-31,$-1
2015-12-31,$-3
2015-09-30,$-3
2015-06-30,$-10
2015-03-31,$-1
2014-12-31,
2014-09-30,$-0
