LexinFintech Holdings Quarterly Net Income (Millions of US $),LexinFintech Holdings Quarterly Net Income (Millions of US $).1
2024-09-30,$44
2024-06-30,$31
2024-03-31,$28
2023-12-31,$3
2023-09-30,$51
2023-06-30,$49
2023-03-31,$48
2022-12-31,$43
2022-09-30,$39
2022-06-30,$25
2022-03-31,$12
2021-12-31,$46
2021-09-30,$90
2021-06-30,$122
2021-03-31,$109
2020-12-31,$77
2020-09-30,$51
2020-06-30,$59
2020-03-31,$-96
2019-12-31,$50
2019-09-30,$101
2019-06-30,$91
2019-03-31,$87
2018-12-31,$148
2018-09-30,$46
2018-06-30,$70
2018-03-31,$23
2017-12-31,$15
2017-09-30,
2016-12-31,
