Stratasys Quarterly Net Income (Millions of US $),Stratasys Quarterly Net Income (Millions of US $).1
2024-12-31,$-42
2024-09-30,$-27
2024-06-30,$-26
2024-03-31,$-26
2023-12-31,$-15
2023-09-30,$-47
2023-06-30,$-39
2023-03-31,$-22
2022-12-31,$-2
2022-09-30,$19
2022-06-30,$-24
2022-03-31,$-21
2021-12-31,$-5
2021-09-30,$-18
2021-06-30,$-20
2021-03-31,$-19
2020-12-31,$11
2020-09-30,$-405
2020-06-30,$-28
2020-03-31,$-22
2019-12-31,$-3
2019-09-30,$-7
2019-06-30,$1
2019-03-31,$-2
2018-12-31,$6
2018-09-30,$-1
2018-06-30,$-4
2018-03-31,$-13
2017-12-31,$-10
2017-09-30,$-10
2017-06-30,$-6
2017-03-31,$-14
2016-12-31,$-15
2016-09-30,$-21
2016-06-30,$-18
2016-03-31,$-23
2015-12-31,$-234
2015-09-30,$-901
2015-06-30,$-23
2015-03-31,$-216
2014-12-31,
2014-09-30,$-31
2014-06-30,
2014-03-31,
2013-12-31,
2013-09-30,
2013-06-30,
2013-03-31,
2012-12-31,$-4
2012-09-30,$5
2012-06-30,$3
2012-03-31,$5
2011-12-31,$6
2011-09-30,$6
2011-06-30,$4
2011-03-31,$5
2010-12-31,$4
2010-09-30,$3
2010-06-30,$2
2010-03-31,$-0
2009-12-31,$2
2009-09-30,$2
2009-06-30,$1
2009-03-31,$-1
