Spero Therapeutics Quarterly Net Income (Millions of US $),Spero Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$-17
2024-06-30,$-18
2024-03-31,$-13
2023-12-31,$51
2023-09-30,$-3
2023-06-30,$-12
2023-03-31,$-13
2022-12-31,$27
2022-09-30,$-12
2022-06-30,$-29
2022-03-31,$-33
2021-12-31,$-29
2021-09-30,$-23
2021-06-30,$-19
2021-03-31,$-19
2020-12-31,$-19
2020-09-30,$-19
2020-06-30,$-18
2020-03-31,$-23
2019-12-31,$-25
2019-09-30,$-18
2019-06-30,$-13
2019-03-31,$-5
2018-12-31,$-11
2018-09-30,$-10
2018-06-30,$-10
2018-03-31,$-11
2017-12-31,$-15
2017-09-30,$-12
2017-06-30,$-12
2017-03-31,$-7
2016-12-31,
2016-09-30,$-7
2015-12-31,
