Seritage Growth Properties Quarterly Net Income (Millions of US $),Seritage Growth Properties Quarterly Net Income (Millions of US $).1
2024-09-30,$-23
2024-06-30,$-102
2024-03-31,$-20
2023-12-31,$2
2023-09-30,$-2
2023-06-30,$-97
2023-03-31,$-63
2022-12-31,$91
2022-09-30,$-5
2022-06-30,$-112
2022-03-31,$-53
2021-12-31,$72
2021-09-30,$-22
2021-06-30,$-74
2021-03-31,$-9
2020-12-31,$-36
2020-09-30,$-51
2020-06-30,$-1
2020-03-31,$-22
2019-12-31,$-26
2019-09-30,$-12
2019-06-30,$-18
2019-03-31,$-8
2018-12-31,$-56
2018-09-30,$-23
2018-06-30,$-8
2018-03-31,$9
2017-12-31,$-43
2017-09-30,$11
2017-06-30,$-21
2017-03-31,$-20
2016-12-31,$-15
2016-09-30,$-21
2016-06-30,$-7
2016-03-31,$-8
2015-12-31,
2015-09-30,$-18
2015-06-30,
