Conduent Quarterly Net Income (Millions of US $),Conduent Quarterly Net Income (Millions of US $).1
2024-12-31,$-22
2024-09-30,$123
2024-06-30,$216
2024-03-31,$99
2023-12-31,$-4
2023-09-30,$-289
2023-06-30,$-7
2023-03-31,$-6
2022-12-31,$-343
2022-09-30,$15
2022-06-30,
2022-03-31,$136
2021-12-31,$-48
2021-09-30,$11
2021-06-30,$12
2021-03-31,$-13
2020-12-31,$-14
2020-09-30,$-9
2020-06-30,$-54
2020-03-31,$-51
2019-12-31,$-588
2019-09-30,$-16
2019-06-30,"$-1,032"
2019-03-31,$-308
2018-12-31,$-147
2018-09-30,$-237
2018-06-30,$8
2018-03-31,$-50
2017-12-31,$210
2017-09-30,$-17
2017-06-30,$-4
2017-03-31,$-8
2016-12-31,$-951
2016-09-30,$1
2016-06-30,$-10
2016-03-31,$-23
2015-12-31,
2015-09-30,$-239
2015-03-31,$28
2014-12-31,
2013-12-31,
