"Sturm, Ruger Quarterly Net Income (Millions of US $)","Sturm, Ruger Quarterly Net Income (Millions of US $).1"
2024-12-31,$10
2024-09-30,$5
2024-06-30,$8
2024-03-31,$7
2023-12-31,$10
2023-09-30,$7
2023-06-30,$16
2023-03-31,$14
2022-12-31,$19
2022-09-30,$18
2022-06-30,$21
2022-03-31,$30
2021-12-31,$38
2021-09-30,$35
2021-06-30,$44
2021-03-31,$38
2020-12-31,$32
2020-09-30,$25
2020-06-30,$19
2020-03-31,$15
2019-12-31,$8
2019-09-30,$5
2019-06-30,$6
2019-03-31,$13
2018-12-31,$12
2018-09-30,$9
2018-06-30,$15
2018-03-31,$14
2017-12-31,$10
2017-09-30,$9
2017-06-30,$10
2017-03-31,$22
2016-12-31,$21
2016-09-30,$20
2016-06-30,$24
2016-03-31,$23
2015-12-31,$17
2015-09-30,$12
2015-06-30,$18
2015-03-31,$16
2014-12-31,$-15
2014-09-30,$7
2014-06-30,$22
2014-03-31,$24
2013-12-31,$27
2013-09-30,$29
2013-06-30,$32
2013-03-31,$24
2012-12-31,$20
2012-09-30,$17
2012-06-30,$18
2012-03-31,$15
2011-12-31,$11
2011-09-30,$11
2011-06-30,$11
2011-03-31,$8
2010-12-31,$6
2010-09-30,$6
2010-06-30,$8
2010-03-31,$8
2009-12-31,$6
2009-09-30,$7
2009-06-30,$9
2009-03-31,$6
