Tuniu Quarterly Net Income (Millions of US $),Tuniu Quarterly Net Income (Millions of US $).1
2024-09-30,$6
2024-06-30,$6
2024-03-31,$2
2023-12-31,$-18
2023-09-30,$5
2023-06-30,$0
2023-03-31,$-1
2022-12-31,$0
2022-09-30,$-3
2022-06-30,$-19
2022-03-31,$-6
2021-12-31,$-6
2021-09-30,$-5
2021-06-30,$-2
2021-03-31,$-6
2020-12-31,$-143
2020-09-30,$-8
2020-06-30,$-21
2020-03-31,$-28
2019-12-31,$-52
2019-09-30,$-2
2019-06-30,$-24
2019-03-31,$-22
2018-12-31,$-8
2018-09-30,$5
2018-06-30,$-12
2018-03-31,$-12
2017-12-31,$-33
2017-09-30,$-4
2017-06-30,$-40
2017-03-31,$-42
2016-12-31,$-66
2016-09-30,$-85
2016-06-30,$-115
2016-03-31,$-84
2015-12-31,$-84
2015-09-30,$-68
2015-06-30,$-40
2015-03-31,$-38
2014-12-31,$-27
2014-09-30,$-17
2014-06-30,$-18
2014-03-31,$-10
2013-12-31,$-9
2013-09-30,$-2
2013-06-30,$-1
