Mogo Inc Quarterly Net Income (Millions of US $),Mogo Inc Quarterly Net Income (Millions of US $).1
2024-09-30,$-6
2024-06-30,$-9
2024-03-31,$-3
2023-12-31,$6
2023-09-30,$-7
2023-06-30,$-7
2023-03-31,$-5
2022-12-31,$-57
2022-09-30,$-15
2022-06-30,$-41
2022-03-31,$-15
2021-12-31,$-24
2021-09-30,$-8
2021-06-30,$7
2021-03-31,$-2
2020-12-31,$-2
2020-09-30,$1
2020-06-30,$-1
2020-03-31,$-8
2019-12-31,$-5
2019-09-30,$-5
2019-06-30,$6
2019-03-31,$-4
2018-12-31,$-4
2018-09-30,$-5
2018-06-30,$-5
2018-03-31,$-3
2017-09-30,$-3
2017-06-30,$-4
2017-03-31,$-3
2016-12-31,$-2
