JAKKS Pacific Quarterly Net Income (Millions of US $),JAKKS Pacific Quarterly Net Income (Millions of US $).1
2024-12-31,$-9
2024-09-30,$52
2024-06-30,$5
2024-03-31,$-13
2023-12-31,$-11
2023-09-30,$48
2023-06-30,$6
2023-03-31,$-6
2022-12-31,$38
2022-09-30,$30
2022-06-30,$26
2022-03-31,$-4
2021-12-31,$-4
2021-09-30,$36
2021-06-30,$-15
2021-03-31,$-24
2020-12-31,$-12
2020-09-30,$32
2020-06-30,$-24
2020-03-31,$-12
2019-12-31,$-21
2019-09-30,$16
2019-06-30,$-23
2019-03-31,$-29
2018-12-31,$-3
2018-09-30,$16
2018-06-30,$-19
2018-03-31,$-36
2017-12-31,$-30
2017-09-30,$-18
2017-06-30,$-17
2017-03-31,$-18
2016-12-31,$-8
2016-09-30,$31
2016-06-30,$-4
2016-03-31,$-17
2015-12-31,$-9
2015-09-30,$46
2015-06-30,$-6
2015-03-31,$-8
2014-12-31,$3
2014-09-30,$44
2014-06-30,$-9
2014-03-31,$-16
2013-12-31,$-16
2013-09-30,$37
2013-06-30,$-47
2013-03-31,$-28
2012-12-31,$-119
2012-09-30,$30
2012-06-30,$0
2012-03-31,$-16
2011-12-31,$-20
2011-09-30,$35
2011-06-30,$4
2011-03-31,$-11
2010-12-31,$9
2010-09-30,$40
2010-06-30,$3
2010-03-31,$-5
2009-12-31,$-2
2009-09-30,$34
2009-06-30,$-407
2009-03-31,$-11
