"DINE BRANDS GLOBAL, INC Quarterly Net Income (Millions of US $)","DINE BRANDS GLOBAL, INC Quarterly Net Income (Millions of US $).1"
2024-12-31,$5
2024-09-30,$19
2024-06-30,$22
2024-03-31,$17
2023-12-31,$32
2023-09-30,$18
2023-06-30,$18
2023-03-31,$27
2022-12-31,$11
2022-09-30,$20
2022-06-30,$23
2022-03-31,$24
2021-12-31,$19
2021-09-30,$23
2021-06-30,$29
2021-03-31,$25
2020-12-31,$-1
2020-09-30,$10
2020-06-30,$-135
2020-03-31,$22
2019-12-31,$26
2019-09-30,$23
2019-06-30,$21
2019-03-31,$31
2018-12-31,$26
2018-09-30,$23
2018-06-30,$12
2018-03-31,$17
2017-12-31,$69
2017-09-30,$-442
2017-06-30,$22
2017-03-31,$15
2016-12-31,$24
2016-09-30,$24
2016-06-30,$26
2016-03-31,$25
2015-12-31,$25
2015-09-30,$24
2015-06-30,$27
2015-03-31,$28
2014-12-31,$-22
2014-09-30,$19
2014-06-30,$19
2014-03-31,$20
2013-12-31,$18
2013-09-30,$18
2013-06-30,$17
2013-03-31,$18
2012-12-31,$18
2012-09-30,$59
2012-06-30,$16
2012-03-31,$30
2011-12-31,$27
2011-09-30,$16
2011-06-30,$-0
2011-03-31,$28
2010-12-31,$-58
2010-09-30,$8
2010-06-30,$7
2010-03-31,$13
2009-12-31,$-48
2009-09-30,$8
2009-06-30,$19
2009-03-31,$31
