SEACOR Marine Holdings Quarterly Net Income (Millions of US $),SEACOR Marine Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-26
2024-09-30,$-16
2024-06-30,$-12
2024-03-31,$-23
2023-12-31,$6
2023-09-30,$-1
2023-06-30,$-5
2023-03-31,$-10
2022-12-31,$-13
2022-09-30,$-24
2022-06-30,$-19
2022-03-31,$-15
2021-12-31,$-16
2021-09-30,$-6
2021-06-30,$49
2021-03-31,$6
2020-12-31,$-39
2020-09-30,$-18
2020-06-30,$-6
2020-03-31,$-16
2019-12-31,$-20
2019-09-30,$-18
2019-06-30,$-28
2019-03-31,$-26
2018-12-31,$-8
2018-09-30,$-16
2018-06-30,$-25
2018-03-31,$-29
2017-12-31,$29
2017-09-30,$-20
2017-06-30,$-34
2017-03-31,$-7
2016-12-31,
2016-09-30,$-28
2016-06-30,$-31
2015-12-31,
2014-12-31,
