NextCure Quarterly Net Income (Millions of US $),NextCure Quarterly Net Income (Millions of US $).1
2024-12-31,$-12
2024-09-30,$-12
2024-06-30,$-15
2024-03-31,$-17
2023-12-31,$-14
2023-09-30,$-14
2023-06-30,$-18
2023-03-31,$-16
2022-12-31,$-17
2022-09-30,$-19
2022-06-30,$-18
2022-03-31,$-21
2021-12-31,$-17
2021-09-30,$-18
2021-06-30,$-18
2021-03-31,$-17
2020-12-31,$-15
2020-09-30,$-16
2020-06-30,$-15
2020-03-31,$10
2019-12-31,$-11
2019-09-30,$-8
2019-06-30,$-8
2019-03-31,$-6
2018-12-31,$-7
2018-09-30,$-6
2018-06-30,$-5
2018-03-31,$-5
2017-12-31,
