American Axle & Manufacturing Holdings Quarterly Net Income (Millions of US $),American Axle & Manufacturing Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-14
2024-09-30,$10
2024-06-30,$18
2024-03-31,$21
2023-12-31,$-19
2023-09-30,$-17
2023-06-30,$8
2023-03-31,$-5
2022-12-31,$11
2022-09-30,$27
2022-06-30,$23
2022-03-31,$1
2021-12-31,$-44
2021-09-30,$-2
2021-06-30,$15
2021-03-31,$37
2020-12-31,$41
2020-09-30,$112
2020-06-30,$-213
2020-03-31,$-501
2019-12-31,$-453
2019-09-30,$-124
2019-06-30,$53
2019-03-31,$40
2018-12-31,$-353
2018-09-30,$62
2018-06-30,$146
2018-03-31,$87
2017-12-31,$112
2017-09-30,$84
2017-06-30,$65
2017-03-31,$77
2016-12-31,$45
2016-09-30,$62
2016-06-30,$69
2016-03-31,$60
2015-12-31,$60
2015-09-30,$60
2015-06-30,$57
2015-03-31,$53
2014-12-31,$12
2014-09-30,$43
2014-06-30,$51
2014-03-31,$34
2013-12-31,$28
2013-09-30,$32
2013-06-30,$26
2013-03-31,$7
2012-12-31,$320
2012-09-30,$-8
2012-06-30,$5
2012-03-31,$51
2011-12-31,$31
2011-09-30,$25
2011-06-30,$49
2011-03-31,$38
2010-12-31,$35
2010-09-30,$39
2010-06-30,$25
2010-03-31,$16
2009-12-31,$49
2009-09-30,$20
2009-06-30,$-289
2009-03-31,$-33
