J.Jill Quarterly Net Income (Millions of US $),J.Jill Quarterly Net Income (Millions of US $).1
2024-10-31,$12
2024-07-31,$8
2024-04-30,$17
2024-01-31,$5
2023-10-31,$12
2023-07-31,$15
2023-04-30,$5
2023-01-31,$1
2022-10-31,$9
2022-07-31,$18
2022-04-30,$14
2022-01-31,$4
2021-10-31,$11
2021-07-31,$-25
2021-04-30,$-18
2021-01-31,$-27
2020-10-31,$-23
2020-07-31,$-19
2020-04-30,$-70
2020-01-31,$-39
2019-10-31,$2
2019-07-31,$-97
2019-04-30,$4
2019-01-31,$2
2018-10-31,$7
2018-07-31,$10
2018-04-30,$11
2018-01-31,$29
2017-10-31,$6
2017-07-31,$12
2017-04-30,$8
2017-01-31,$2
2016-10-31,$8
2016-07-31,$8
2016-04-30,$6
2016-01-31,
2015-01-31,
2014-01-31,
