American Strategic Investment Quarterly Net Income (Millions of US $),American Strategic Investment Quarterly Net Income (Millions of US $).1
2024-12-31,$-7
2024-09-30,$-34
2024-06-30,$-92
2024-03-31,$-8
2023-12-31,$-74
2023-09-30,$-9
2023-06-30,$-11
2023-03-31,$-12
2022-12-31,$-10
2022-09-30,$-11
2022-06-30,$-13
2022-03-31,$-12
2021-12-31,$-4
2021-09-30,$-11
2021-06-30,$-11
2021-03-31,$-14
2020-12-31,$-17
2020-09-30,$-12
2020-06-30,$-5
2020-03-31,$-7
2019-12-31,$-7
2019-09-30,$-5
2019-06-30,$-6
2019-03-31,$-5
2018-12-31,
2017-12-31,
