ProAssurance Quarterly Net Income (Millions of US $),ProAssurance Quarterly Net Income (Millions of US $).1
2024-12-31,$16
2024-09-30,$16
2024-06-30,$16
2024-03-31,$5
2023-12-31,$6
2023-09-30,$-49
2023-06-30,$11
2023-03-31,$-6
2022-12-31,$14
2022-09-30,$-9
2022-06-30,$-2
2022-03-31,$-4
2021-12-31,$32
2021-09-30,$12
2021-06-30,$92
2021-03-31,$8
2020-12-31,$14
2020-09-30,$-150
2020-06-30,$-18
2020-03-31,$-22
2019-12-31,$-59
2019-09-30,$17
2019-06-30,$12
2019-03-31,$32
2018-12-31,$-24
2018-09-30,$31
2018-06-30,$28
2018-03-31,$12
2017-12-31,$17
2017-09-30,$29
2017-06-30,$20
2017-03-31,$41
2016-12-31,$55
2016-09-30,$34
2016-06-30,$43
2016-03-31,$19
2015-12-31,$35
2015-09-30,$10
2015-06-30,$33
2015-03-31,$38
2014-12-31,$65
2014-09-30,$35
2014-06-30,$50
2014-03-31,$47
2013-12-31,$71
2013-09-30,$63
2013-06-30,$50
2013-03-31,$113
2012-12-31,$101
2012-09-30,$60
2012-06-30,$58
2012-03-31,$56
2011-12-31,$141
2011-09-30,$44
2011-06-30,$55
2011-03-31,$48
2010-12-31,$102
2010-09-30,$51
2010-06-30,$40
2010-03-31,$38
2009-12-31,$85
2009-09-30,$55
2009-06-30,$54
2009-03-31,$28
