Rayonier Advanced Materials Quarterly Net Income (Millions of US $),Rayonier Advanced Materials Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-33
2024-06-30,$11
2024-03-31,$-2
2023-12-31,$-62
2023-09-30,$-25
2023-06-30,$-17
2023-03-31,$2
2022-12-31,$4
2022-09-30,$30
2022-06-30,$-23
2022-03-31,$-25
2021-12-31,$-24
2021-09-30,$-5
2021-06-30,$122
2021-03-31,$-27
2020-12-31,$9
2020-09-30,$29
2020-06-30,$-13
2020-03-31,$-24
2019-12-31,$29
2019-09-30,$-16
2019-06-30,$-18
2019-03-31,$-25
2018-12-31,$9
2018-09-30,$34
2018-06-30,$50
2018-03-31,$21
2017-12-31,$291
2017-09-30,$12
2017-06-30,$1
2017-03-31,$6
2016-12-31,$8
2016-09-30,$20
2016-06-30,$19
2016-03-31,$21
2015-12-31,$13
2015-09-30,$32
2015-06-30,$-0
2015-03-31,$11
2014-12-31,$-23
2014-09-30,$19
2014-06-30,$5
2014-03-31,$31
2013-12-31,
2013-09-30,$40
2013-06-30,$49
2012-12-31,
2011-12-31,
