Blue Ridge Bankshares Quarterly Net Income (Millions of US $),Blue Ridge Bankshares Quarterly Net Income (Millions of US $).1
2024-12-31,$-2
2024-09-30,$1
2024-06-30,$-12
2024-03-31,$-3
2023-12-31,$-6
2023-09-30,$-41
2023-06-30,$-9
2023-03-31,$4
2022-12-31,$-4
2022-09-30,$3
2022-06-30,$1
2022-03-31,$18
2021-12-31,$13
2021-09-30,$7
2021-06-30,$29
2021-03-31,$4
2020-12-31,
2020-09-30,$5
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
