AZUL Quarterly Net Income (Millions of US $),AZUL Quarterly Net Income (Millions of US $).1
2024-09-30,$22
2024-06-30,$-741
2024-03-31,$-226
2023-12-31,$-295
2023-09-30,$-220
2023-06-30,$101
2023-03-31,$-62
2022-12-31,$198
2022-09-30,$-314
2022-06-30,$-533
2022-03-31,$509
2021-12-31,$-68
2021-09-30,$-429
2021-06-30,$203
2021-03-31,$-485
2020-12-31,$60
2020-09-30,$-228
2020-06-30,$-548
2020-03-31,"$-1,386"
2019-12-31,$-623
2019-09-30,$-111
2019-06-30,$88
2019-03-31,$37
2018-12-31,$33
2018-09-30,$30
2018-06-30,$-13
2018-03-31,$65
2017-12-31,$94
2017-09-30,$65
2017-06-30,$-11
2017-03-31,$18
2016-12-31,
2016-06-30,$-34
