TrueBlue Quarterly Net Income (Millions of US $),TrueBlue Quarterly Net Income (Millions of US $).1
2024-12-31,$-12
2024-09-30,$-8
2024-06-30,$-105
2024-03-31,$-2
2023-12-31,$-3
2023-09-30,$-0
2023-06-30,$-7
2023-03-31,$-4
2022-12-31,$7
2022-09-30,$21
2022-06-30,$24
2022-03-31,$11
2021-12-31,$20
2021-09-30,$19
2021-06-30,$16
2021-03-31,$7
2020-12-31,$8
2020-09-30,$9
2020-06-30,$-8
2020-03-31,$-150
2019-12-31,$9
2019-09-30,$27
2019-06-30,$19
2019-03-31,$8
2018-12-31,$15
2018-09-30,$24
2018-06-30,$18
2018-03-31,$9
2017-12-31,$16
2017-09-30,$21
2017-06-30,$13
2017-03-31,$5
2016-12-31,$18
2016-09-30,$23
2016-06-30,$-64
2016-03-31,$7
2015-12-31,$28
2015-09-30,$20
2015-06-30,$17
2015-03-31,$6
2014-12-31,$27
2014-09-30,$21
2014-06-30,$16
2014-03-31,$2
2013-12-31,$15
2013-09-30,$19
2013-06-30,$13
2013-03-31,$-1
2012-12-31,$7
2012-09-30,$14
2012-06-30,$10
2012-03-31,$2
2011-12-31,$8
2011-09-30,$14
2011-06-30,$9
2011-03-31,$1
2010-12-31,$4
2010-09-30,$10
2010-06-30,$8
2010-03-31,$-2
2009-12-31,$2
2009-09-30,$8
2009-06-30,$4
2009-03-31,$-5
