"Five Point Holdings, LLC Quarterly Net Income (Millions of US $)","Five Point Holdings, LLC Quarterly Net Income (Millions of US $).1"
2024-12-31,$46
2024-09-30,$5
2024-06-30,$15
2024-03-31,$2
2023-12-31,$30
2023-09-30,$7
2023-06-30,$24
2023-03-31,$-5
2022-12-31,$11
2022-09-30,$-4
2022-06-30,$-5
2022-03-31,$-17
2021-12-31,$22
2021-09-30,$-4
2021-06-30,$-2
2021-03-31,$-10
2020-12-31,$1
2020-09-30,$17
2020-06-30,$7
2020-03-31,$-25
2019-12-31,$6
2019-09-30,$-11
2019-06-30,$-11
2019-03-31,$24
2018-12-31,$-14
2018-09-30,$-10
2018-06-30,$-5
2018-03-31,$-5
2017-12-31,$95
2017-09-30,$-4
2017-06-30,$-10
2017-03-31,$-8
2016-12-31,$-3
2016-09-30,$-6
2016-06-30,$-19
2016-03-31,$-5
2015-12-31,
