Nu Skin Enterprises Quarterly Net Income (Millions of US $),Nu Skin Enterprises Quarterly Net Income (Millions of US $).1
2024-12-31,$-36
2024-09-30,$8
2024-06-30,$-118
2024-03-31,$-1
2023-12-31,$7
2023-09-30,$-37
2023-06-30,$27
2023-03-31,$11
2022-12-31,$57
2022-09-30,$-25
2022-06-30,$34
2022-03-31,$39
2021-12-31,$-9
2021-09-30,$50
2021-06-30,$59
2021-03-31,$47
2020-12-31,$73
2020-09-30,$56
2020-06-30,$42
2020-03-31,$20
2019-12-31,$40
2019-09-30,$44
2019-06-30,$46
2019-03-31,$43
2018-12-31,$-18
2018-09-30,$53
2018-06-30,$51
2018-03-31,$36
2017-12-31,$18
2017-09-30,$42
2017-06-30,$42
2017-03-31,$27
2016-12-31,$38
2016-09-30,$57
2016-06-30,$45
2016-03-31,$3
2015-12-31,$36
2015-09-30,$16
2015-06-30,$45
2015-03-31,$36
2014-12-31,$47
2014-09-30,$68
2014-06-30,$20
2014-03-31,$55
2013-12-31,$125
2013-09-30,$111
2013-06-30,$74
2013-03-31,$54
2012-12-31,$59
2012-09-30,$54
2012-06-30,$60
2012-03-31,$48
2011-12-31,$50
2011-09-30,$47
2011-06-30,$42
2011-03-31,$15
2010-12-31,$37
2010-09-30,$35
2010-06-30,$32
2010-03-31,$31
2009-12-31,$30
2009-09-30,$26
2009-06-30,$22
2009-03-31,$12
