Origin Agritech Quarterly Net Income (Millions of US $),Origin Agritech Quarterly Net Income (Millions of US $).1
2024-03-31,
2017-03-31,$-4
2016-12-31,$-4
2016-09-30,$2
2016-06-30,$-3
2016-03-31,$-4
2015-12-31,$-4
2015-09-30,$9
2015-06-30,$-2
2015-03-31,$-4
2014-12-31,$-5
2014-09-30,$13
2014-06-30,$-2
2014-03-31,$-7
2013-12-31,$-5
2013-09-30,$8
2013-06-30,$1
2013-03-31,$-4
2012-12-31,$-4
2012-09-30,$7
2012-06-30,$4
2012-03-31,$-6
2011-12-31,$-5
2011-09-30,$2
2011-06-30,$2
2011-03-31,$-5
2010-12-31,$-3
2010-09-30,$-2
2010-06-30,$15
2010-03-31,$-4
2009-12-31,$-2
2009-09-30,$-2
2009-06-30,$11
2009-03-31,$-12
