Manitowoc Quarterly Net Income (Millions of US $),Manitowoc Quarterly Net Income (Millions of US $).1
2024-12-31,$57
2024-09-30,$-7
2024-06-30,$2
2024-03-31,$5
2023-12-31,$-8
2023-09-30,$10
2023-06-30,$20
2023-03-31,$17
2022-12-31,$-144
2022-09-30,$2
2022-06-30,$15
2022-03-31,$3
2021-12-31,$-4
2021-09-30,$-0
2021-06-30,$18
2021-03-31,$-3
2020-12-31,$2
2020-09-30,$-0
2020-06-30,$-13
2020-03-31,$-8
2019-12-31,$9
2019-09-30,$18
2019-06-30,$46
2019-03-31,$-27
2018-12-31,$-78
2018-09-30,$12
2018-06-30,$10
2018-03-31,$-10
2017-12-31,$35
2017-09-30,$10
2017-06-30,$1
2017-03-31,$-36
2016-12-31,$-33
2016-09-30,$-141
2016-06-30,$-6
2016-03-31,$-196
2015-12-31,$46
2015-09-30,$5
2015-06-30,$23
2015-03-31,$-8
2014-12-31,$33
2014-09-30,$73
2014-06-30,$47
2014-03-31,$-9
2013-12-31,$21
2013-09-30,$53
2013-06-30,$58
2013-03-31,$10
2012-12-31,$35
2012-09-30,$22
2012-06-30,$45
2012-03-31,$-0
2011-12-31,$15
2011-09-30,$24
2011-06-30,$3
2011-03-31,$-52
2010-12-31,$-67
2010-09-30,$1
2010-06-30,$14
2010-03-31,$-23
2009-12-31,$12
2009-09-30,$-13
2009-06-30,$-12
2009-03-31,$-656
