Voyager Therapeutics Quarterly Net Income (Millions of US $),Voyager Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-34
2024-09-30,$-9
2024-06-30,$-10
2024-03-31,$-11
2023-12-31,$56
2023-09-30,$-26
2023-06-30,$-22
2023-03-31,$124
2022-12-31,$-24
2022-09-30,$18
2022-06-30,$-19
2022-03-31,$-21
2021-12-31,$6
2021-09-30,$-25
2021-06-30,$-30
2021-03-31,$-22
2020-12-31,$-16
2020-09-30,$86
2020-06-30,$-9
2020-03-31,$-24
2019-12-31,$-13
2019-09-30,$-15
2019-06-30,$11
2019-03-31,$-27
2018-12-31,$-23
2018-09-30,$-20
2018-06-30,$-26
2018-03-31,$-20
2017-12-31,$-12
2017-09-30,$-23
2017-06-30,$-19
2017-03-31,$-17
2016-12-31,$-15
2016-09-30,$-9
2016-06-30,$-9
2016-03-31,$-7
2015-12-31,$-9
2015-09-30,$-7
2015-06-30,$-7
2015-03-31,$-16
2014-12-31,$-5
2014-09-30,$-4
2014-06-30,$-5
2014-03-31,$-3
2013-12-31,
