Baozun Quarterly Net Income (Millions of US $),Baozun Quarterly Net Income (Millions of US $).1
2024-09-30,$-13
2024-06-30,$-4
2024-03-31,$-9
2023-12-31,$-7
2023-09-30,$-17
2023-06-30,$-3
2023-03-31,$-12
2022-12-31,$-40
2022-09-30,$-24
2022-06-30,$-12
2022-03-31,$-19
2021-12-31,$-2
2021-09-30,$-45
2021-06-30,$12
2021-03-31,$0
2020-12-31,$39
2020-09-30,$10
2020-06-30,$17
2020-03-31,$0
2019-12-31,$20
2019-09-30,$6
2019-06-30,$10
2019-03-31,$5
2018-12-31,$27
2018-09-30,$4
2018-06-30,$6
2018-03-31,$2
2017-12-31,$23
2017-09-30,$3
2017-06-30,$4
2017-03-31,$2
2016-12-31,$9
2016-09-30,$3
2016-06-30,$0
2016-03-31,$1
2015-12-31,$2
2015-09-30,$1
2015-06-30,$0
2015-03-31,$-4
2014-12-31,$-3
2014-09-30,$-12
2014-06-30,$1
