Vnet Group Quarterly Net Income (Millions of US $),Vnet Group Quarterly Net Income (Millions of US $).1
2024-09-30,$45
2024-06-30,$9
2024-03-31,$-26
2023-12-31,$-345
2023-09-30,$-7
2023-06-30,$-32
2023-03-31,$12
2022-12-31,$-11
2022-09-30,$-60
2022-06-30,$-56
2022-03-31,$14
2021-12-31,$-3
2021-09-30,$24
2021-06-30,$71
2021-03-31,$-13
2020-12-31,$-90
2020-09-30,$14
2020-06-30,$-320
2020-03-31,$-20
2019-12-31,$-2
2019-09-30,$-10
2019-06-30,$-15
2019-03-31,$1
2018-12-31,$-17
2018-09-30,$-4
2018-06-30,$-14
2018-03-31,$5
2017-12-31,$117
2017-09-30,$-207
2017-06-30,$-14
2017-03-31,$-14
2016-12-31,$-34
2016-09-30,$-20
2016-06-30,$-15
2016-03-31,$-22
2015-12-31,$-19
2015-09-30,$-10
2015-06-30,$-23
2015-03-31,$-16
2014-12-31,$-28
2014-09-30,$6
2014-06-30,$-10
2014-03-31,$-24
2013-12-31,$-1
2013-09-30,$-2
2013-06-30,$-7
2013-03-31,$2
2012-12-31,$7
2012-09-30,$2
2012-06-30,$3
2012-03-31,$-3
2011-12-31,$0
2011-09-30,$13
2011-06-30,$-5
2011-03-31,$-6
2010-12-31,$-31
2010-09-30,$-6
2010-06-30,$1
2010-03-31,$-3
