Mersana Therapeutics Quarterly Net Income (Millions of US $),Mersana Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-14
2024-09-30,$-12
2024-06-30,$-24
2024-03-31,$-19
2023-12-31,$-20
2023-09-30,$-42
2023-06-30,$-54
2023-03-31,$-56
2022-12-31,$-45
2022-09-30,$-60
2022-06-30,$-52
2022-03-31,$-47
2021-12-31,$-49
2021-09-30,$-45
2021-06-30,$-41
2021-03-31,$-35
2020-12-31,$-29
2020-09-30,$-22
2020-06-30,$-20
2020-03-31,$-17
2019-12-31,$-16
2019-09-30,$-17
2019-06-30,$-17
2019-03-31,$22
2018-12-31,$-22
2018-09-30,$-17
2018-06-30,$-12
2018-03-31,$-12
2017-12-31,$-14
2017-09-30,$-8
2017-06-30,$-9
2017-03-31,$-8
2016-12-31,
2016-09-30,$-6
2016-06-30,$-4
2015-12-31,
