Anywhere Real Estate Quarterly Net Income (Millions of US $),Anywhere Real Estate Quarterly Net Income (Millions of US $).1
2024-12-31,$-64
2024-09-30,$7
2024-06-30,$30
2024-03-31,$-101
2023-12-31,$-107
2023-09-30,$129
2023-06-30,$19
2023-03-31,$-138
2022-12-31,$-453
2022-09-30,$55
2022-06-30,$88
2022-03-31,$23
2021-12-31,$47
2021-09-30,$114
2021-06-30,$149
2021-03-31,$33
2020-12-31,$18
2020-09-30,$98
2020-06-30,$-14
2020-03-31,$-462
2019-12-31,$-45
2019-09-30,$-113
2019-06-30,$69
2019-03-31,$-99
2018-12-31,$-22
2018-09-30,$103
2018-06-30,$123
2018-03-31,$-67
2017-12-31,$255
2017-09-30,$95
2017-06-30,$109
2017-03-31,$-28
2016-12-31,$57
2016-09-30,$106
2016-06-30,$92
2016-03-31,$-42
2015-12-31,$9
2015-09-30,$110
2015-06-30,$97
2015-03-31,$-32
2014-12-31,$21
2014-09-30,$100
2014-06-30,$68
2014-03-31,$-46
2013-12-31,$320
2013-09-30,$109
2013-06-30,$84
2013-03-31,$-75
2012-12-31,$-292
2012-09-30,$-34
2012-06-30,$-25
2012-03-31,$-192
2011-12-31,$-154
2011-09-30,$-28
2011-06-30,$-22
2011-03-31,$-237
2010-12-31,$-91
2010-09-30,$-33
2010-06-30,$222
2010-03-31,$-197
