Bionano Genomics Quarterly Net Income (Millions of US $),Bionano Genomics Quarterly Net Income (Millions of US $).1
2024-09-30,$-44
2024-06-30,$-16
2024-03-31,$-31
2023-12-31,$-44
2023-09-30,$-113
2023-06-30,$-39
2023-03-31,$-37
2022-12-31,$-39
2022-09-30,$-32
2022-06-30,$-32
2022-03-31,$-30
2021-12-31,$-23
2021-09-30,$-21
2021-06-30,$-19
2021-03-31,$-10
2020-12-31,$-12
2020-09-30,$-11
2020-06-30,$-8
2020-03-31,$-11
2019-12-31,$-8
2019-09-30,$-6
2019-06-30,$-8
2019-03-31,$-8
2018-12-31,$-6
2018-09-30,$-5
2018-06-30,$-3
2018-03-31,$-4
2017-12-31,
2017-09-30,$-5
2016-12-31,
