Cellectis S.A Quarterly Net Income (Millions of US $),Cellectis S.A Quarterly Net Income (Millions of US $).1
2024-09-30,$-23
2024-06-30,$-25
2024-03-31,$6
2023-12-31,$-42
2023-09-30,$-17
2023-06-30,$-12
2023-03-31,$-30
2022-12-31,$-27
2022-09-30,$-28
2022-06-30,$-19
2022-03-31,$-32
2021-12-31,$-25
2021-09-30,$-37
2021-06-30,$-40
2021-03-31,$-12
2020-12-31,$-39
2020-09-30,$-30
2020-06-30,$-32
2020-03-31,$20
2019-12-31,$-37
2019-09-30,$-16
2019-06-30,$-33
2019-03-31,$-15
2018-12-31,$-23
2018-09-30,$-23
2018-06-30,$-7
2018-03-31,$-25
2017-12-31,$-27
2017-09-30,$-26
2017-06-30,$-27
2017-03-31,$-20
2016-12-31,$-14
2016-09-30,$-14
2016-06-30,$-7
2016-03-31,$-33
2015-12-31,$9
2015-09-30,$-14
2015-06-30,$-25
2015-03-31,$7
2014-12-31,
