Atara Biotherapeutics Quarterly Net Income (Millions of US $),Atara Biotherapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-13
2024-09-30,$-22
2024-06-30,$-19
2024-03-31,$-32
2023-12-31,$-60
2023-09-30,$-70
2023-06-30,$-71
2023-03-31,$-75
2022-12-31,$-75
2022-09-30,$-84
2022-06-30,$18
2022-03-31,$-88
2021-12-31,$-93
2021-09-30,$-85
2021-06-30,$-84
2021-03-31,$-78
2020-12-31,$-81
2020-09-30,$-74
2020-06-30,$-77
2020-03-31,$-74
2019-12-31,$-78
2019-09-30,$-72
2019-06-30,$-74
2019-03-31,$-66
2018-12-31,$-80
2018-09-30,$-58
2018-06-30,$-51
2018-03-31,$-41
2017-12-31,$-35
2017-09-30,$-31
2017-06-30,$-27
2017-03-31,$-26
2016-12-31,$-18
2016-09-30,$-25
2016-06-30,$-19
2016-03-31,$-17
2015-12-31,$-21
2015-09-30,$-12
2015-06-30,$-15
2015-03-31,$-9
2014-12-31,$-11
2014-09-30,$-6
2014-06-30,$-5
2014-03-31,$-7
2013-12-31,$-5
2013-09-30,$-3
2013-06-30,
2013-03-31,$-1
2012-12-31,
